site_id,latitude,longitude,start_date,end_date,status,timestamp,pm10,pm2_5,aqi
8.06793E+12,-37.8187544,144.959365,2021-05-20,2024-05-20,inactive,2026-04-12T18:00,6.0,4.1,21
5.84001E+12,-37.8104263,144.9589041,2021-05-13,2023-05-13,inactive,2026-04-12T18:00,6.0,4.1,21
5.84001E+12,-37.8175803,144.9699764,2021-05-13,2023-05-13,inactive,2026-04-12T18:00,6.0,4.1,21
CBS-U 58098/4594313314270,-37.8175049,144.9797271,2021-05-26,2024-05-26,inactive,2026-04-12T18:00,6.0,4.1,21
8188198898058/0,-37.7800868,144.9583671,2021-05-13,2023-05-13,inactive,2026-04-12T18:00,4.6,3.4,20
4.33902E+12,-37.8077715,144.9582881,2021-03-26,2024-03-26,inactive,2026-04-12T18:00,6.0,4.1,21
6.7916E+12,-37.8044006,144.9445738,2020-11-23,2023-06-26,inactive,2026-04-12T18:00,6.0,4.1,21
6.38222E+12,-37.8034613,144.9576082,2021-03-12,2023-04-09,inactive,2026-04-12T18:00,6.0,4.1,21
2.51765E+12,-37.8159953,144.9649134,2021-03-10,2023-11-24,inactive,2026-04-12T18:00,6.0,4.1,21
2517654643986/A,-37.8159953,144.9649134,2021-03-10,2023-11-24,inactive,2026-04-12T18:00,6.0,4.1,21
2.32995E+12,-37.8205856,144.9517854,2021-05-17,2024-05-17,inactive,2026-04-12T18:00,6.0,4.1,21
2.81926E+12,-37.8178505,144.9550871,2021-04-20,2022-04-20,inactive,2026-04-12T18:00,6.0,4.1,21
9215097585045/0A,-37.8217098,144.949833,2021-05-17,2024-05-17,inactive,2026-04-12T18:00,6.0,4.1,21
BSU1092/1900087265610,-37.8293737,144.9852766,2021-04-22,2023-04-22,inactive,2026-04-12T18:00,6.0,4.1,21
1.26453E+12,-37.8144301,144.9671928,2021-05-14,2024-05-14,inactive,2026-04-12T18:00,6.0,4.1,21
1264525478303/V1,-37.8159588,144.9610992,2021-05-14,2024-05-14,inactive,2026-04-12T18:00,6.0,4.1,21
C69289/7365300708024/0,-37.8137251,144.9600538,2021-05-14,2023-05-14,inactive,2026-04-12T18:00,6.0,4.1,21
1703950378291/A,-37.8162533,144.9569167,2021-05-11,2024-05-11,inactive,2026-04-12T18:00,6.0,4.1,21
54182/3066102591352/3,-37.8159588,144.9610992,2021-05-10,2024-02-12,inactive,2026-04-12T18:00,6.0,4.1,21
6.84921E+12,-37.8159588,144.9610992,2021-04-01,2024-02-12,inactive,2026-04-12T18:00,6.0,4.1,21
6.9555E+12,-37.816529,144.947517,2021-05-14,2024-05-14,inactive,2026-04-12T18:00,6.0,4.1,21
6.68984E+12,-37.8099897,144.9614983,2021-04-28,2024-02-03,inactive,2026-04-12T18:00,6.0,4.1,21
9.12858E+12,-37.8121788,144.9700065,2021-05-10,2024-05-10,inactive,2026-04-12T18:00,6.0,4.1,21
6789741729715/A,-37.8103505,144.9570211,2021-03-31,2022-12-05,inactive,2026-04-12T18:00,6.0,4.1,21
4691984148656/A,-37.8156833,144.9726695,2021-03-24,2023-06-23,inactive,2026-04-12T18:00,6.0,4.1,21
BS-U 42762/9933546020079,-37.816858,144.9687277,2021-05-21,2023-05-21,inactive,2026-04-12T18:00,6.0,4.1,21
54182/6664464083377/0A,-37.8061463,144.959648,2021-05-05,2024-05-05,inactive,2026-04-12T18:00,6.0,4.1,21
54182/6664464083377/0,-37.8061463,144.959648,2021-05-05,2024-05-05,inactive,2026-04-12T18:00,6.0,4.1,21
6.16021E+12,-37.8222782,144.9346187,2021-04-15,2022-02-05,inactive,2026-04-12T18:00,6.0,4.1,21
9.02863E+12,-37.8123411,144.9653725,2021-05-13,2024-05-13,inactive,2026-04-12T18:00,6.0,4.1,21
9.2091E+12,-37.812653,144.9678157,2021-05-11,2024-05-11,inactive,2026-04-12T18:00,6.0,4.1,21
6.67489E+12,-37.8121554,144.9634568,2021-05-11,2024-05-11,inactive,2026-04-12T18:00,6.0,4.1,21
62181/1261915135551,-37.8226669,144.9688984,2021-05-05,2024-05-05,inactive,2026-04-12T18:00,6.0,4.1,21
9.26867E+12,-37.8121554,144.9634568,2021-04-09,2024-04-09,inactive,2026-04-12T18:00,6.0,4.1,21
3.46E+12,-37.8158966,144.9585893,2021-05-12,2024-05-12,inactive,2026-04-12T18:00,6.0,4.1,21
5.14534E+12,-37.809011,144.9789702,2021-05-03,2024-05-03,inactive,2026-04-12T18:00,6.0,4.1,21
4.50301E+12,-37.8115032,144.964155,2021-03-31,2024-12-20,inactive,2026-04-12T18:00,6.0,4.1,21
9.6009E+12,-37.8159953,144.9649134,2021-01-29,2023-11-24,inactive,2026-04-12T18:00,6.0,4.1,21
1081/6579975170169/A1,-37.8105732,144.9612017,2021-05-19,2024-05-19,inactive,2026-04-12T18:00,6.0,4.1,21
7.32394E+12,-37.8159953,144.9649134,2021-05-07,2024-05-07,inactive,2026-04-12T18:00,6.0,4.1,21
2.81189E+12,-37.8160346,144.9715404,2021-05-20,2024-05-20,inactive,2026-04-12T18:00,6.0,4.1,21
8.37161E+12,-37.8006511,144.9657621,2021-03-30,2024-03-30,inactive,2026-04-12T18:00,6.0,4.1,21
5.29818E+12,-37.805595,144.9596504,2020-09-04,2023-09-04,inactive,2026-04-12T18:00,6.0,4.1,21
